Incident ID,Incident Date,State,City Or County,Address,Killed,Injured,Latitude,Longitude
3052758,21/10/2024,Washington,Fall City,7715 Lake Alice Rd SE,5,1,47.5661384,-121.8886139
3052028,20/10/2024,Tennessee,Jackson,2310 N Highland Ave,1,8,35.6144446,-88.8177418
3051984,20/10/2024,Louisiana,Baton Rouge,9702 Greenwell Springs Rd,1,5,30.4494155,-91.1869659
3051041,19/10/2024,Pennsylvania,Philadelphia,2517 N Jessup St,0,7,39.9527237,-75.1635262
3051689,19/10/2024,Indiana,Fort Wayne,4911 Manistee Dr,0,10,41.0799898,-85.1386015
3051717,19/10/2024,Georgia,Albany,504 College Dr,1,4,31.5782062,-84.1556809
3050940,19/10/2024,Mississippi,Lexington,24904 MS-17,3,8,33.1131834,-90.0531408
3047186,14/10/2024,Michigan,Detroit,Haverhill St and Southampton St,1,3,42.3315509,-83.0466403
3047310,12/10/2024,Georgia,Elberton,Evergreen Dr,1,7,34.1112226,-82.8670839
3045998,12/10/2024,Tennessee,Nashville,Jefferson St and 27th Ave,0,7,36.1622767,-86.7742984
3045675,12/10/2024,Oklahoma,Oklahoma City,5878 S Agnew Ave,1,11,35.4729886,-97.5170536
3046124,12/10/2024,Ohio,Cleveland (East Cleveland),15449 Euclid Ave,1,4,41.5331066,-81.5790137
3046477,11/10/2024,South Carolina,Newberry,1400 block of Martin St,0,4,34.3266879,-81.5830086
3044413,09/10/2024,Missouri,Kansas City,315 Westport Rd,0,4,39.100105,-94.5781416
3041753,06/10/2024,Texas,Fort Worth,100 block of NW 24th St,1,5,32.753177,-97.3327459
3041259,05/10/2024,Oklahoma,Oklahoma City,208 Johnny Bench Dr,0,4,35.4729886,-97.5170536
3040192,04/10/2024,California,Redding,6438 Westside Rd,2,3,40.5863563,-122.391675
3037386,29/09/2024,Georgia,Atlanta,2500 block of Gresham Rd,1,3,33.7489924,-84.3902644
3036427,29/09/2024,Virginia,Danville,510 Spring St,1,3,36.5879877,-79.3916713
3037002,28/09/2024,North Carolina,Henderson,1110 S Garnett St,0,5,35.3389062,-82.4663918
3036055,28/09/2024,District of Columbia,Washington,2700 block of Langston Pl SE,1,3,38.8950368,-77.0365427
3037040,27/09/2024,South Carolina,Woodruff,115 Griffin Rd,3,1,34.7395701,-82.0370466
3034398,26/09/2024,Illinois,Chicago,4255 N Knox Ave,0,4,41.8755616,-87.6244212
3033981,25/09/2024,California,Los Angeles,449 W 74th St,0,6,34.0536909,-118.242766
3029992,21/09/2024,Minnesota,Minneapolis,10 S 5th St,2,3,44.9772995,-93.2654692
3030531,21/09/2024,Alabama,Birmingham,2012 Magnolia Ave,4,17,33.5206824,-86.8024326
3030144,21/09/2024,New York,Brooklyn,Cherry St and Stewart Ave,0,6,40.6526006,-73.9497211
3030222,21/09/2024,Arizona,Phoenix,N 16th St and E Van Buren St,1,3,33.4484367,-112.074141
3030761,21/09/2024,Illinois,Chicago,2500 block of S Spaulding Ave,1,6,41.8755616,-87.6244212
3029865,20/09/2024,Pennsylvania,Philadelphia,6527 Woodland Ave,1,3,39.9527237,-75.1635262
3027605,18/09/2024,Missouri,Saint Louis,5000 block of Kensington Ave,3,1,38.6280278,-90.1910154
3026197,16/09/2024,Illinois,Chicago,1500 W 51st St,0,4,41.8755616,-87.6244212
3025439,15/09/2024,Missouri,Florissant,2200 block of Windsor Dr,0,4,38.7919683,-90.3227803
3026772,14/09/2024,Alabama,Selma,201 N Race St,0,4,32.4078632,-87.0207473
3024100,14/09/2024,Kentucky,Louisville,521 N 22nd St,0,4,38.2542376,-85.759407
3034497,14/09/2024,Louisiana,Monroe,,0,6,32.5025471,-92.116219
3024007,14/09/2024,Texas,Houston,4901 Laura Koppe Rd,3,8,29.7589382,-95.3676974
3024089,13/09/2024,Tennessee,Antioch,223 Bart Dr,3,1,36.0600602,-86.6722192
3022787,12/09/2024,Virginia,Suffolk,822 E Washington St,2,3,36.7281341,-76.5834683
3017817,07/09/2024,Kentucky,East Bernstadt,I-75 and KY-909,0,5,37.1895318,-84.1177098
3018370,07/09/2024,Florida,Opa Locka,15600 NW 42nd Ave,0,5,25.9023168,-80.2503271
